FICE,Institution,Discipline,Total SCH,Percentage of SCH
3624,SFASU,Science,34357,0.113423503
3624,SFASU,Fine Arts,26169,0.086392283
3624,SFASU,Teacher Education,30765,0.101565157
3624,SFASU,Agriculture,11094,0.036624861
3624,SFASU,Engineering,7605,0.02510655
3624,SFASU,Home Economics,14603,0.048209198
3624,SFASU,Law,0,0
3624,SFASU,Social Service,8217,0.027126959
3624,SFASU,Library Science,0,0
3624,SFASU,Veterinary Science,0,0
3624,SFASU,Vocational Training,63,0.000207983
3624,SFASU,Physical Training,0,0
3624,SFASU,Health Services,14943,0.049331647
3624,SFASU,Pharmacy,0,0
3624,SFASU,Business Administration,38218,0.126169906
3624,SFASU,Optometry,0,0
3624,SFASU,Teacher Ed-Practice Teaching,2955,0.009755405
3624,SFASU,Technology,1449,0.004783615
3624,SFASU,Nursing,9770,0.032253911
3642,TSU,Liberal Arts,75029,0.411903246
3642,TSU,Science,22455,0.123276165
3642,TSU,Fine Arts,6980,0.038319645
3642,TSU,Teacher Education,7337,0.040279547
3642,TSU,Agriculture,0,0
3642,TSU,Engineering,8562,0.047004699
3642,TSU,Home Economics,1527,0.008383109
3642,TSU,Law,16799,0.092225175
3642,TSU,Social Service,2437,0.013378936
3642,TSU,Library Science,0,0
3642,TSU,Veterinary Science,0,0
3642,TSU,Vocational Training,96,0.000527032
3642,TSU,Physical Training,0,0
3642,TSU,Health Services,8146,0.044720892
3642,TSU,Pharmacy,10766,0.059104484
3642,TSU,Business Administration,20070,0.110182705
3642,TSU,Optometry,0,0
3642,TSU,Teacher Ed-Practice Teaching,78,0.000428214
3642,TSU,Technology,1870,0.010266151
3642,TSU,Nursing,0,0
3644,TTU,Liberal Arts,396856,0.386048195
3644,TTU,Science,193897,0.188616493
3644,TTU,Fine Arts,45743,0.044497255
3644,TTU,Teacher Education,29428,0.028626571
3644,TTU,Agriculture,37911,0.036878548
3644,TTU,Engineering,123575,0.120209612
3644,TTU,Home Economics,10689,0.0103979
3644,TTU,Law,12562,0.012219892
3644,TTU,Social Service,1831,0.001781135
3644,TTU,Library Science,767,0.000746112
3644,TTU,Veterinary Science,0,0
3644,TTU,Vocational Training,0,0
3644,TTU,Physical Training,0,0
3644,TTU,Health Services,18624,0.018116802
3644,TTU,Pharmacy,0,0
3644,TTU,Business Administration,149669,0.145592979
3644,TTU,Optometry,0,0
3644,TTU,Teacher Ed-Practice Teaching,2996,0.002914408
3644,TTU,Technology,3448,0.003354099
3644,TTU,Nursing,0,0
3541,ASU,Liberal Arts,101539,0.466612135
3541,ASU,Science,29777,0.136837171
3541,ASU,Fine Arts,8792,0.040402741
3541,ASU,Teacher Education,13998,0.064326384
3541,ASU,Agriculture,5939,0.02729207
3541,ASU,Engineering,5107,0.023468698
3541,ASU,Home Economics,870,0.003997996
3541,ASU,Law,0,0
3541,ASU,Social Service,6723,0.030894862
3541,ASU,Library Science,0,0
3541,ASU,Veterinary Science,0,0
3541,ASU,Vocational Training,0,0
3541,ASU,Physical Training,0,0
3541,ASU,Health Services,12899,0.059276041
